French,English
de,of
je,I
est,is
pas,not
le,the
que,than
la,the
vous,you
tu,you
un,a
c',vs'
Ã,TO
et,and
il,he
a,To
l',the'
ne,born
les,the
j',I
en,in
on,we
Ã§a,It has
une,a
d',d '
ce,this
qu',that
pour,for
ai,have
n',not'
des,from
qui,who
mais,corn
dans,in
nous,we
elle,she
me,me
bien,good
si,if
du,of
y,Y
suis,am
non,no
t',T '
avec,with
tout,all
plus,more
mon,my
m',m '
te,you
au,to
fait,made
moi,me
s',S '
oui,Yes
va,go
Ã©tait,Was
as,have
faire,to do
ils,they
sur,on
quoi,what
se,be
comme,like
sais,know
Ãªtre,Be
veux,want
ici,here
ma,my
toi,you
est-ce,is it
dit,said
lui,him
votre,your
es,es
pourquoi,Why
oÃ¹,wherever
lÃ,the
rien,nothing
cette,this
sont,are
quand,when
peux,can
dire,to say
son,his
avez,have
vais,am going to
alors,so
ton,your
comment,How? 'Or' What
par,through
ou,Where
chose,thing
bon,Well
ont,have
merci,thank you
juste,just
trÃ¨s,quite
jamais,never
Ã©tÃ©,Established
aussi,too
avoir,to have
vraiment,really
voir,see
mÃªme,even
sa,her
oh,Oh
maintenant,now
tous,all
peut,may
deux,of them
ces,those
Ãªtes,Are
allez,go
ta,your
autre,other